	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	41.595	30.37209	45.48001	23.43893	19.91246	13.74404	14.45935	31.00231
alpha_rarefaction_500_1.txt	500	1	42.34482	29.80517	45.93995	22.12243	19.2577	12.96504	15.24545	28.60083
alpha_rarefaction_500_2.txt	500	2	40.37417	29.05343	44.81521	22.04601	20.78669	13.94324	14.85781	29.31399
alpha_rarefaction_500_3.txt	500	3	36.42893	30.17869	44.44264	20.06234	18.84205	14.20835	14.27561	28.95908
alpha_rarefaction_500_4.txt	500	4	40.12799	29.39605	48.80425	20.66816	20.22084	13.92676	15.0005	27.69308
alpha_rarefaction_500_5.txt	500	5	38.56512	29.11131	45.56536	23.31295	19.72524	14.79093	15.77812	31.24411
alpha_rarefaction_500_6.txt	500	6	39.54871	30.39492	46.98327	22.73116	19.40869	17.22251	15.95095	28.8124
alpha_rarefaction_500_7.txt	500	7	39.89223	27.33467	47.60784	23.02389	19.89935	13.13365	14.15475	30.886
alpha_rarefaction_500_8.txt	500	8	36.71337	29.27877	45.35853	22.28261	19.72643	13.08632	15.72294	28.62756
alpha_rarefaction_500_9.txt	500	9	40.39019	28.15256	47.20389	21.43026	19.52796	13.39496	13.9983	28.15438
alpha_rarefaction_1500_0.txt	1500	0	65.08405	42.18376	85.00921	30.68333	25.98994	21.43977	19.0575	45.83148
alpha_rarefaction_1500_1.txt	1500	1	62.66965	40.5424	80.884	30.9187	26.64981	20.04571	19.30642	46.10322
alpha_rarefaction_1500_2.txt	1500	2	59.54527	42.84826	78.80562	29.88222	26.43749	18.47427	20.4392	45.65105
alpha_rarefaction_1500_3.txt	1500	3	65.34925	41.49427	84.8096	29.81763	25.79632	20.41614	20.90629	45.20528
alpha_rarefaction_1500_4.txt	1500	4	61.56076	44.0222	84.74699	30.10863	26.53661	18.76762	18.98734	43.57833
alpha_rarefaction_1500_5.txt	1500	5	64.38389	44.59968	79.46658	31.15228	26.03562	21.24049	21.15625	46.43866
alpha_rarefaction_1500_6.txt	1500	6	62.34667	43.73638	83.97977	30.59667	27.01951	21.87276	19.77672	44.14221
alpha_rarefaction_1500_7.txt	1500	7	66.57682	42.6851	80.47913	32.02614	27.12918	20.78933	19.17338	42.90519
alpha_rarefaction_1500_8.txt	1500	8	62.34409	41.65996	82.98485	31.3305	28.58788	18.6944	21.05913	42.61735
alpha_rarefaction_1500_9.txt	1500	9	63.8956	42.30696	81.50248	32.0618	26.41845	19.40215	22.04434	43.85526
alpha_rarefaction_2500_0.txt	2500	0	76.53293	47.02116	106.11886	36.21309	30.80056	22.45516	23.80108	53.29465
alpha_rarefaction_2500_1.txt	2500	1	79.06315	49.15538	111.93193	36.05158	29.77672	22.78187	22.16728	55.49065
alpha_rarefaction_2500_2.txt	2500	2	76.94287	50.56448	106.18564	36.15068	30.34142	24.3912	23.26346	54.42972
alpha_rarefaction_2500_3.txt	2500	3	77.40318	51.54377	110.62829	35.8244	29.88212	24.30368	22.73609	53.47735
alpha_rarefaction_2500_4.txt	2500	4	80.43632	53.48576	104.58161	33.97378	30.32674	24.58708	22.88667	51.96665
alpha_rarefaction_2500_5.txt	2500	5	78.12435	51.1874	109.38655	34.54629	29.43225	23.29894	21.34986	53.9148
alpha_rarefaction_2500_6.txt	2500	6	78.05877	49.98669	105.11364	36.79871	29.49671	22.86177	22.39216	52.43395
alpha_rarefaction_2500_7.txt	2500	7	78.40988	50.65321	106.22354	33.90767	30.26247	23.9593	23.97807	53.88827
alpha_rarefaction_2500_8.txt	2500	8	77.26227	48.90623	109.34162	35.89842	29.72682	22.12626	22.58575	53.50216
alpha_rarefaction_2500_9.txt	2500	9	78.71912	49.85731	114.35095	34.35396	29.47471	23.49835	23.45547	53.72886
alpha_rarefaction_3500_0.txt	3500	0	87.53598	56.07882	124.7933	37.19252	31.80551	26.24185	24.71494	58.59244
alpha_rarefaction_3500_1.txt	3500	1	88.81863	54.82565	124.50297	36.78127	32.08376	24.92156	24.65534	58.9164
alpha_rarefaction_3500_2.txt	3500	2	88.06043	54.24995	124.51799	39.63853	32.49385	25.71398	23.74484	60.76405
alpha_rarefaction_3500_3.txt	3500	3	88.71854	53.40953	123.36412	35.94379	32.9037	26.58449	24.48388	56.75627
alpha_rarefaction_3500_4.txt	3500	4	87.93101	54.7451	122.04229	37.8566	31.86941	25.47413	24.40559	60.68515
alpha_rarefaction_3500_5.txt	3500	5	85.97624	56.31388	122.65376	38.46755	32.50187	26.17242	25.9	59.8568
alpha_rarefaction_3500_6.txt	3500	6	87.34114	53.09444	126.33619	38.42643	31.96052	25.49747	25.98269	59.71656
alpha_rarefaction_3500_7.txt	3500	7	86.98544	56.69597	122.66591	37.9196	31.24404	26.18102	24.64317	58.86853
alpha_rarefaction_3500_8.txt	3500	8	86.87206	53.32659	123.326	37.9343	31.53261	25.25002	23.15918	59.02096
alpha_rarefaction_3500_9.txt	3500	9	88.29462	55.37895	127.9017	38.82531	31.44625	25.66764	25.05084	59.44298
alpha_rarefaction_4500_0.txt	4500	0	95.40687	58.74692	140.93261	38.06504	33.85053	24.7369	26.05189	64.49814
alpha_rarefaction_4500_1.txt	4500	1	95.57115	59.14041	139.31549	38.68896	33.83426	25.6863	26.99253	63.35227
alpha_rarefaction_4500_2.txt	4500	2	94.64883	57.9414	134.04729	39.4321	33.56548	26.92969	25.77292	63.06914
alpha_rarefaction_4500_3.txt	4500	3	93.43878	58.15094	139.88156	39.4876	34.11955	26.57653	26.501	62.19776
alpha_rarefaction_4500_4.txt	4500	4	93.13076	57.0816	140.15858	38.09869	33.03633	27.20626	25.7336	62.37372
alpha_rarefaction_4500_5.txt	4500	5	94.07783	58.16112	138.86914	39.57537	32.703	28.28218	26.4056	64.14349
alpha_rarefaction_4500_6.txt	4500	6	96.9886	60.07292	138.18578	38.33458	34.96133	28.00812	27.72149	66.00725
alpha_rarefaction_4500_7.txt	4500	7	93.23388	58.34602	133.99844	39.88616	34.49835	28.01616	24.80538	65.15284
alpha_rarefaction_4500_8.txt	4500	8	91.85287	60.30166	139.29744	39.61216	33.26873	28.32842	26.73162	64.11617
alpha_rarefaction_4500_9.txt	4500	9	95.18613	58.50907	141.5418	39.22946	33.43197	26.64299	26.80108	63.17112
alpha_rarefaction_5500_0.txt	5500	0	100.45899	60.77128	146.9697	39.9699	35.95071	30.74493	26.4496	67.6006
alpha_rarefaction_5500_1.txt	5500	1	97.88857	61.79616	150.42882	41.30491	34.0516	29.79772	25.8213	65.40197
alpha_rarefaction_5500_2.txt	5500	2	101.33742	61.39899	149.45209	41.90445	35.99451	27.10463	28.45265	68.04316
alpha_rarefaction_5500_3.txt	5500	3	95.93382	59.35101	147.50385	40.45508	34.93138	29.16098	26.11867	66.09277
alpha_rarefaction_5500_4.txt	5500	4	99.82329	62.44896	150.82524	40.02055	32.84616	28.46337	26.38851	67.42814
