	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	760.885714286	265.9375	866.125	177.913043478	260.5	160.111111111	124.272727273	340.444444444
alpha_rarefaction_500_1.txt	500	1	753.0	458.0	1067.23255814	178.625	244.043478261	108.5	139.25	535.769230769
alpha_rarefaction_500_2.txt	500	2	746.774193548	242.4	917.634146341	198.5	256.28125	96.0625	105.545454545	387.0
alpha_rarefaction_500_3.txt	500	3	481.195652174	300.884615385	1126.275	200.230769231	241.285714286	104.0	122.0	286.6
alpha_rarefaction_500_4.txt	500	4	564.024390244	282.111111111	1375.03030303	248.153846154	337.5	113.75	109.166666667	258.5
alpha_rarefaction_500_5.txt	500	5	509.25	272.0	1135.10810811	232.5	213.171428571	258.2	126.153846154	392.4
alpha_rarefaction_500_6.txt	500	6	546.666666667	291.096774194	1178.75675676	220.4	235.125	163.4	106.647058824	349.24
alpha_rarefaction_500_7.txt	500	7	553.0	285.0	1311.02777778	171.434782609	243.12	136.125	97.1176470588	403.12
alpha_rarefaction_500_8.txt	500	8	459.666666667	358.0	1079.07317073	164.038461538	197.65625	98.8333333333	125.0	317.107142857
alpha_rarefaction_500_9.txt	500	9	741.774193548	253.260869565	1197.64285714	179.833333333	243.307692308	140.0	118.0	300.59375
alpha_rarefaction_1500_0.txt	1500	0	884.0	405.178571429	1835.48245614	230.825	272.914893617	233.2	154.3	524.615384615
alpha_rarefaction_1500_1.txt	1500	1	835.011363636	442.176470588	1851.18421053	259.090909091	351.588235294	146.620689655	161.5	502.549019608
alpha_rarefaction_1500_2.txt	1500	2	674.744897959	396.529411765	1830.05714286	211.75	366.857142857	130.2	179.473684211	440.02
alpha_rarefaction_1500_3.txt	1500	3	919.530120482	422.75	2227.10869565	255.5	284.166666667	187.9	196.142857143	446.948275862
alpha_rarefaction_1500_4.txt	1500	4	800.595505618	480.348837209	1835.29411765	221.428571429	297.375	214.1	202.214285714	454.725490196
