	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	584.564045963	218.722866867	700.741644803	147.812040843	210.007348295	107.736962041	99.0415623056	267.106941135
alpha_rarefaction_500_1.txt	500	1	585.732840691	316.45550149	827.178688355	148.88879165	197.384027714	80.5811899162	111.177162449	354.956509492
alpha_rarefaction_500_2.txt	500	2	564.275399604	196.416882416	713.585901894	156.710531298	213.837901961	78.9898233037	87.2170855286	285.737989649
alpha_rarefaction_500_3.txt	500	3	393.356587929	237.82376074	864.201884618	149.971731346	199.596302596	84.9228109419	96.2241737277	231.661418959
alpha_rarefaction_500_4.txt	500	4	449.477126651	225.269604315	1021.1547077	178.015128821	256.262020283	86.5420420066	94.8751360511	206.508518314
alpha_rarefaction_500_5.txt	500	5	412.561237573	218.687042902	861.279818456	179.203966926	184.082733135	142.941548698	101.15713662	300.203712535
alpha_rarefaction_500_6.txt	500	6	441.472686662	234.893760129	894.671047088	165.962358058	198.101938073	121.981751794	94.0772961018	269.254403692
alpha_rarefaction_500_7.txt	500	7	439.472716083	215.498470254	986.477907897	143.292104171	200.498143721	94.0216413417	85.3593327489	306.133375759
alpha_rarefaction_500_8.txt	500	8	374.415254949	260.18287071	833.800898214	139.273349495	172.716380203	78.4300847067	105.110353338	250.510207454
alpha_rarefaction_500_9.txt	500	9	559.275399604	200.352929533	921.542067235	143.308882031	198.144593648	96.689908708	98.1103533378	243.145787356
alpha_rarefaction_1500_0.txt	1500	0	771.293410092	354.705044286	1583.08606773	207.965662252	250.27941068	177.018243104	135.742492647	446.253286395
alpha_rarefaction_1500_1.txt	1500	1	730.170609875	364.482508979	1595.24371064	226.564414399	303.649579156	129.432888624	143.845868432	428.701925811
alpha_rarefaction_1500_2.txt	1500	2	604.854330012	347.447468254	1567.05476302	189.575202521	306.390476716	116.074777108	150.763911916	380.633553708
alpha_rarefaction_1500_3.txt	1500	3	796.009315123	357.907856929	1874.16378508	216.72250686	254.461997981	152.977299153	164.087569455	390.809360083
alpha_rarefaction_1500_4.txt	1500	4	703.213038337	402.427430343	1587.8636145	200.631131592	266.687182907	154.091293346	160.800202897	391.008280793
alpha_rarefaction_1500_5.txt	1500	5	698.649987708	365.018210585	1518.90659508	236.95165836	284.75606317	155.640904587	159.398180442	438.74119483
alpha_rarefaction_1500_6.txt	1500	6	760.999595242	359.537885529	1539.37132805	213.696697554	280.335731941	153.977299153	158.072240438	404.337694012
alpha_rarefaction_1500_7.txt	1500	7	798.77937988	339.413016027	1658.48593932	226.716630335	291.219580056	159.29422653	146.723949608	383.624344734
alpha_rarefaction_1500_8.txt	1500	8	671.073165719	353.394593549	1625.96308503	207.355996466	322.973147735	126.596732584	166.318837453	367.730033781
alpha_rarefaction_1500_9.txt	1500	9	761.297302467	412.617362648	1689.77323712	209.659012369	291.542136964	146.286546123	182.072528325	418.261227378
alpha_rarefaction_2500_0.txt	2500	0	878.161248746	399.321914378	2121.83237118	248.280533745	343.170274644	157.613512788	202.983307561	497.725657206
alpha_rarefaction_2500_1.txt	2500	1	871.536165407	453.032175426	2174.27351092	248.460795642	339.897342649	158.209402167	181.78945461	447.698516578
alpha_rarefaction_2500_2.txt	2500	2	849.590238683	408.615931889	2059.2581038	295.182548874	333.772305742	155.61985294	181.634069649	535.242877828
alpha_rarefaction_2500_3.txt	2500	3	799.475304023	491.671674024	2286.03665849	256.631206532	304.771063872	176.855654136	178.575202521	525.48638731
alpha_rarefaction_2500_4.txt	2500	4	885.413511987	460.744652928	1817.93859658	240.743805086	334.688176015	170.007977453	185.872931306	507.253286395
alpha_rarefaction_2500_5.txt	2500	5	851.438058938	483.600128769	2055.37091459	235.605922793	317.115016362	161.084390925	174.467086624	528.57893384
alpha_rarefaction_2500_6.txt	2500	6	947.846675548	476.928108424	1949.66067022	270.476375242	304.5304228	149.837557906	183.634601774	453.772348122
