	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	1034.19059427	349.268757248	1104.88801255	238.406811385	354.199268336	283.297511485	186.860307936	468.050491714
alpha_rarefaction_500_1.txt	500	1	1008.32322088	722.869623698	1420.90685741	237.945612344	332.263389511	178.367682035	201.325455858	880.083706799
alpha_rarefaction_500_2.txt	500	2	1035.24949674	327.966990831	1223.08793314	283.18646952	332.184999115	137.445484046	153.82180871	567.298187556
alpha_rarefaction_500_3.txt	500	3	617.758304799	413.147231392	1515.25513429	307.935143283	318.0182029	149.21696384	184.232525487	383.07709942
alpha_rarefaction_500_4.txt	500	4	741.812724352	383.659613683	1910.35497865	392.81244638	486.591899769	178.839003276	144.141238638	353.054499054
alpha_rarefaction_500_5.txt	500	5	659.494276295	367.934001171	1545.94479764	337.250073419	267.086542675	553.120776886	185.563222213	551.948944939
alpha_rarefaction_500_6.txt	500	6	708.470977342	388.920848864	1604.26315151	331.86848063	302.539374874	251.205214785	138.777691035	489.436706573
alpha_rarefaction_500_7.txt	500	7	730.817549673	417.646094873	1796.51908933	228.597222391	323.199426678	241.489920988	127.662712849	570.233878016
alpha_rarefaction_500_8.txt	500	8	594.556370532	541.108143169	1442.8140948	214.070410969	245.877608562	150.233598257	171.070241881	433.253195968
alpha_rarefaction_500_9.txt	500	9	1030.24949674	351.794179727	1603.26989578	255.240880325	326.851091586	244.429986616	164.070241881	399.740311168
alpha_rarefaction_1500_0.txt	1500	0	1040.61625036	485.377034407	2162.3788736	273.808966853	314.332493728	347.813679641	196.217266613	645.252728992
alpha_rarefaction_1500_1.txt	1500	1	981.618117236	570.817628729	2182.4839436	319.05131853	435.074141427	182.950759608	200.147740856	617.183807593
alpha_rarefaction_1500_2.txt	1500	2	774.26581585	475.933746054	2173.11261048	256.715853216	473.377414738	162.341108882	240.175920535	534.45191446
alpha_rarefaction_1500_3.txt	1500	3	1091.63989636	528.85003667	2689.11862082	328.669253408	338.753389155	258.717108728	261.251274642	534.663166703
alpha_rarefaction_1500_4.txt	1500	4	937.293198142	604.119851157	2154.59276124	262.221890903	352.405300759	348.988058484	291.536651639	555.015491693
alpha_rarefaction_1500_5.txt	1500	5	908.785838248	485.943899549	2053.89802613	344.545771325	398.484340269	260.959299855	252.748645379	618.259536318
alpha_rarefaction_1500_6.txt	1500	6	1021.9226783	525.890311923	2071.13019553	291.08198485	390.605206507	259.717108728	250.569382806	590.955806203
alpha_rarefaction_1500_7.txt	1500	7	1067.20708172	479.780991108	2321.76563027	318.310341885	406.175752602	301.7665897	221.433615738	532.728841602
alpha_rarefaction_1500_8.txt	1500	8	878.64308673	526.892028005	2220.83466824	273.464866254	455.348789623	202.820962485	271.29000281	512.547283947
alpha_rarefaction_1500_9.txt	1500	9	1020.55726747	653.805682193	2346.45440004	275.6249831	398.477524611	262.317083894	300.912857915	606.888582959
alpha_rarefaction_2500_0.txt	2500	0	1092.26127828	529.926129412	2704.58872626	308.207888418	481.567713735	220.745951379	332.114586604	696.610592081
alpha_rarefaction_2500_1.txt	2500	1	1093.30017938	631.446759953	2757.47596938	324.607016462	476.934548652	239.681419324	280.601161012	568.242054743
alpha_rarefaction_2500_2.txt	2500	2	1044.64972607	528.072115053	2607.23179734	426.155519305	446.698542077	214.288523234	252.892628011	735.955440769
alpha_rarefaction_2500_3.txt	2500	3	967.197036149	688.37444025	2951.26623687	329.088316812	380.39669652	272.132179295	245.715853216	715.181678049
alpha_rarefaction_2500_4.txt	2500	4	1103.44343666	604.356803239	2273.66051443	310.621545418	454.329650632	244.820844651	256.579429704	706.252728992
alpha_rarefaction_2500_5.txt	2500	5	1050.48208244	654.072380507	2586.95300461	293.178580071	401.039681896	229.271009	286.973959201	703.76403362
alpha_rarefaction_2500_6.txt	2500	6	1247.77870192	680.413943934	2445.88444025	346.300974251	386.893106317	203.535620284	270.129018979	601.885892789
alpha_rarefaction_2500_7.txt	2500	7	1008.57386737	546.681544415	2862.31134054	306.920404898	425.205669976	428.487245611	256.449612244	660.542352279
alpha_rarefaction_2500_8.txt	2500	8	1047.08113511	618.155134048	2765.24171049	314.68045202	380.88812947	211.979216547	299.239471181	820.075479633
alpha_rarefaction_2500_9.txt	2500	9	1038.8503399	528.889742732	2714.13706504	307.681797982	404.51885406	280.643675461	295.8062215	775.461929429
alpha_rarefaction_3500_0.txt	3500	0	1247.52718703	652.397165445	2898.30665226	343.531324302	449.318558983	263.362498611	288.740729161	677.11087904
alpha_rarefaction_3500_1.txt	3500	1	1135.38288374	656.020014385	3083.1910856	292.728544858	418.543754597	207.54392876	271.48136018	749.597477887
alpha_rarefaction_3500_2.txt	3500	2	1114.70253758	613.201846565	3006.86076757	328.526753253	463.293805881	267.374283543	264.48136018	781.982584489
alpha_rarefaction_3500_3.txt	3500	3	1179.21854548	628.673282389	3196.97008926	410.866589223	466.808167554	332.111428225	300.409154167	658.907876615
alpha_rarefaction_3500_4.txt	3500	4	1196.89354246	638.506865789	3033.18616378	304.154027899	447.807844569	256.33178584	278.719022937	848.686918193
alpha_rarefaction_3500_5.txt	3500	5	1056.8559771	722.327624023	2703.97903746	363.722497174	444.864317349	209.691817963	346.007404507	818.427699899
alpha_rarefaction_3500_6.txt	3500	6	1130.66537895	524.039417728	2951.33425571	351.195208397	480.526308095	209.83352484	333.669253408	694.41667305
alpha_rarefaction_3500_7.txt	3500	7	1200.79821559	695.642193358	2785.89873732	341.361311744	444.107557306	317.499269659	284.129018979	903.134953339
alpha_rarefaction_3500_8.txt	3500	8	1202.46558172	584.824057137	3085.72337722	390.541028128	430.912142209	220.507752923	310.760715414	737.903751483
alpha_rarefaction_3500_9.txt	3500	9	1230.47151224	609.741391198	2894.45040521	317.902763078	401.74344781	285.249306945	367.706400504	819.1791913
alpha_rarefaction_4500_0.txt	4500	0	1190.80415816	654.826762045	3018.74152997	320.252856135	479.812315507	207.76210855	287.815686506	824.857849305
alpha_rarefaction_4500_1.txt	4500	1	1212.54478642	725.089272602	3432.27329651	303.802782717	451.323458766	250.958143246	332.338564497	775.410060843
alpha_rarefaction_4500_2.txt	4500	2	1118.8809758	631.543642658	2761.52172539	375.912194948	461.883700969	248.459559022	366.199426678	769.172815443
alpha_rarefaction_4500_3.txt	4500	3	1185.51104808	641.481496644	3210.71586712	304.620973659	534.496409452	259.308562992	341.914428638	844.104695642
alpha_rarefaction_4500_4.txt	4500	4	1092.80521627	570.793115591	3221.85465923	322.390816413	468.478256518	261.958143246	324.0739636	972.317688606
alpha_rarefaction_4500_5.txt	4500	5	1179.50774982	601.704631727	3204.78279315	361.006526179	486.363678416	263.314330259	282.33178584	949.107365722
alpha_rarefaction_4500_6.txt	4500	6	1226.0768196	635.342752424	3077.91537318	325.287647275	561.104720761	251.211144669	342.502262685	833.231480926
alpha_rarefaction_4500_7.txt	4500	7	1170.25770503	659.951713702	3040.59108933	342.367356908	616.731956185	288.100493567	288.276170166	853.203692356
alpha_rarefaction_4500_8.txt	4500	8	1118.25344291	698.328546369	3256.05868789	333.284829768	488.293805881	313.068550149	358.734447958	821.92360822
alpha_rarefaction_4500_9.txt	4500	9	1151.85333266	578.759960559	3052.72522492	308.362422265	444.85592644	234.650272935	286.919913229	846.330343353
alpha_rarefaction_5500_0.txt	5500	0	1159.74561465	631.887707395	3325.09885179	323.977772887	467.045862909	256.122942841	399.808714338	901.968411598
alpha_rarefaction_5500_1.txt	5500	1	1124.11185137	667.438677458	3316.85558439	357.374580008	576.363731628	279.579429704	296.362498611	781.434088672
alpha_rarefaction_5500_2.txt	5500	2	1177.94263592	649.336958313	3623.76431343	345.070775268	584.753265878	216.351758306	370.006474759	927.281544922
alpha_rarefaction_5500_3.txt	5500	3	1065.42722564	648.897428595	3139.71839365	327.449625514	495.83007025	322.033329563	302.866380856	815.160596335
alpha_rarefaction_5500_4.txt	5500	4	1144.49004888	907.211877886	3490.73672729	329.163316147	431.162484393	241.0897285	320.549517518	832.501063018
alpha_rarefaction_5500_5.txt	5500	5	1191.05607191	593.671722604	3533.89972902	356.328873951	512.637782354	268.508997358	320.186872035	757.945585787
alpha_rarefaction_5500_6.txt	5500	6	1173.91104886	624.271480667	3157.85461071	333.935292108	486.259510058	288.567965636	278.508997358	943.82933345
alpha_rarefaction_5500_7.txt	5500	7	1093.08342866	696.022567154	3435.53980638	342.935292108	446.81395955	310.190530361	370.006474759	763.686619432
alpha_rarefaction_5500_8.txt	5500	8	1155.91104886	633.45509349	3613.62044589	312.248264736	486.678663314	252.621132178	309.129018979	726.682754863
alpha_rarefaction_5500_9.txt	5500	9	1288.80497087	671.640113175	3443.73939853	309.997499042	539.021564065	245.650272935	359.779264187	847.410118358
