	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	264.0	157.0	328.0	118.0	151.0	69.0	82.0	168.0
alpha_rarefaction_500_1.txt	500	1	268.0	154.0	320.0	119.0	145.0	62.0	88.0	155.0
alpha_rarefaction_500_2.txt	500	2	250.0	143.0	303.0	116.0	160.0	67.0	76.0	156.0
alpha_rarefaction_500_3.txt	500	3	235.0	157.0	323.0	106.0	150.0	71.0	78.0	159.0
alpha_rarefaction_500_4.txt	500	4	242.0	153.0	331.0	112.0	159.0	67.0	85.0	143.0
alpha_rarefaction_500_5.txt	500	5	238.0	152.0	314.0	124.0	150.0	69.0	83.0	174.0
alpha_rarefaction_500_6.txt	500	6	246.0	159.0	324.0	114.0	153.0	85.0	86.0	163.0
alpha_rarefaction_500_7.txt	500	7	239.0	139.0	332.0	116.0	152.0	66.0	78.0	172.0
alpha_rarefaction_500_8.txt	500	8	228.0	148.0	326.0	115.0	146.0	65.0	90.0	161.0
alpha_rarefaction_500_9.txt	500	9	245.0	139.0	333.0	109.0	145.0	66.0	83.0	164.0
alpha_rarefaction_1500_0.txt	1500	0	482.0	269.0	728.0	182.0	223.0	123.0	121.0	301.0
alpha_rarefaction_1500_1.txt	1500	1	467.0	246.0	726.0	188.0	239.0	114.0	129.0	295.0
alpha_rarefaction_1500_2.txt	1500	2	440.0	268.0	703.0	168.0	227.0	105.0	125.0	280.0
alpha_rarefaction_1500_3.txt	1500	3	482.0	256.0	732.0	173.0	219.0	119.0	133.0	291.0
alpha_rarefaction_1500_4.txt	1500	4	462.0	270.0	736.0	179.0	228.0	106.0	125.0	280.0
alpha_rarefaction_1500_5.txt	1500	5	474.0	283.0	721.0	189.0	231.0	123.0	131.0	304.0
alpha_rarefaction_1500_6.txt	1500	6	480.0	257.0	737.0	183.0	228.0	120.0	131.0	280.0
alpha_rarefaction_1500_7.txt	1500	7	499.0	258.0	716.0	188.0	233.0	117.0	127.0	285.0
alpha_rarefaction_1500_8.txt	1500	8	458.0	251.0	739.0	182.0	251.0	107.0	135.0	274.0
alpha_rarefaction_1500_9.txt	1500	9	481.0	265.0	729.0	184.0	239.0	113.0	142.0	289.0
alpha_rarefaction_2500_0.txt	2500	0	624.0	312.0	1047.0	224.0	275.0	138.0	158.0	351.0
alpha_rarefaction_2500_1.txt	2500	1	614.0	326.0	1071.0	217.0	269.0	132.0	152.0	360.0
alpha_rarefaction_2500_2.txt	2500	2	619.0	328.0	1034.0	232.0	277.0	137.0	158.0	376.0
alpha_rarefaction_2500_3.txt	2500	3	613.0	344.0	1058.0	227.0	270.0	143.0	157.0	375.0
alpha_rarefaction_2500_4.txt	2500	4	624.0	353.0	999.0	214.0	275.0	144.0	162.0	362.0
alpha_rarefaction_2500_5.txt	2500	5	619.0	352.0	1057.0	212.0	275.0	140.0	144.0	384.0
alpha_rarefaction_2500_6.txt	2500	6	608.0	329.0	1030.0	236.0	266.0	135.0	155.0	346.0
alpha_rarefaction_2500_7.txt	2500	7	614.0	335.0	1030.0	210.0	275.0	138.0	154.0	364.0
alpha_rarefaction_2500_8.txt	2500	8	600.0	330.0	1073.0	224.0	268.0	132.0	149.0	368.0
alpha_rarefaction_2500_9.txt	2500	9	621.0	325.0	1065.0	208.0	273.0	133.0	159.0	371.0
alpha_rarefaction_3500_0.txt	3500	0	727.0	376.0	1301.0	236.0	306.0	166.0	182.0	418.0
alpha_rarefaction_3500_1.txt	3500	1	731.0	381.0	1296.0	231.0	309.0	153.0	171.0	427.0
alpha_rarefaction_3500_2.txt	3500	2	709.0	364.0	1280.0	251.0	303.0	156.0	164.0	441.0
alpha_rarefaction_3500_3.txt	3500	3	719.0	362.0	1258.0	232.0	309.0	157.0	176.0	416.0
alpha_rarefaction_3500_4.txt	3500	4	712.0	387.0	1264.0	242.0	310.0	162.0	172.0	447.0
alpha_rarefaction_3500_5.txt	3500	5	710.0	386.0	1276.0	236.0	305.0	153.0	181.0	435.0
alpha_rarefaction_3500_6.txt	3500	6	715.0	366.0	1310.0	249.0	308.0	153.0	178.0	436.0
alpha_rarefaction_3500_7.txt	3500	7	712.0	396.0	1278.0	236.0	299.0	162.0	169.0	439.0
alpha_rarefaction_3500_8.txt	3500	8	715.0	369.0	1286.0	246.0	296.0	156.0	168.0	427.0
alpha_rarefaction_3500_9.txt	3500	9	726.0	379.0	1275.0	242.0	296.0	160.0	172.0	424.0
alpha_rarefaction_4500_0.txt	4500	0	784.0	414.0	1510.0	247.0	322.0	158.0	186.0	481.0
alpha_rarefaction_4500_1.txt	4500	1	802.0	421.0	1499.0	251.0	318.0	162.0	193.0	475.0
alpha_rarefaction_4500_2.txt	4500	2	795.0	403.0	1432.0	256.0	328.0	171.0	195.0	472.0
alpha_rarefaction_4500_3.txt	4500	3	779.0	411.0	1475.0	251.0	322.0	163.0	198.0	473.0
alpha_rarefaction_4500_4.txt	4500	4	784.0	401.0	1504.0	250.0	332.0	173.0	191.0	466.0
alpha_rarefaction_4500_5.txt	4500	5	787.0	412.0	1508.0	256.0	322.0	175.0	188.0	484.0
alpha_rarefaction_4500_6.txt	4500	6	816.0	420.0	1487.0	249.0	333.0	178.0	191.0	484.0
alpha_rarefaction_4500_7.txt	4500	7	785.0	415.0	1451.0	260.0	336.0	169.0	187.0	492.0
alpha_rarefaction_4500_8.txt	4500	8	784.0	429.0	1506.0	259.0	328.0	172.0	203.0	481.0
alpha_rarefaction_4500_9.txt	4500	9	800.0	404.0	1481.0	248.0	324.0	168.0	193.0	464.0
alpha_rarefaction_5500_0.txt	5500	0	850.0	435.0	1638.0	263.0	340.0	190.0	198.0	522.0
alpha_rarefaction_5500_1.txt	5500	1	841.0	444.0	1679.0	271.0	345.0	185.0	199.0	504.0
alpha_rarefaction_5500_2.txt	5500	2	878.0	445.0	1655.0	270.0	357.0	169.0	202.0	520.0
alpha_rarefaction_5500_3.txt	5500	3	812.0	436.0	1649.0	269.0	347.0	183.0	195.0	498.0
alpha_rarefaction_5500_4.txt	5500	4	846.0	446.0	1663.0	266.0	338.0	179.0	202.0	509.0
alpha_rarefaction_5500_5.txt	5500	5	869.0	446.0	1695.0	268.0	334.0	183.0	201.0	507.0
alpha_rarefaction_5500_6.txt	5500	6	848.0	444.0	1672.0	266.0	355.0	180.0	193.0	517.0
alpha_rarefaction_5500_7.txt	5500	7	854.0	454.0	1666.0	275.0	336.0	190.0	202.0	507.0
alpha_rarefaction_5500_8.txt	5500	8	830.0	438.0	1695.0	266.0	340.0	189.0	194.0	503.0
alpha_rarefaction_5500_9.txt	5500	9	866.0	444.0	1713.0	262.0	341.0	179.0	198.0	517.0
alpha_rarefaction_6500_0.txt	6500	0	940.0	458.0	1833.0	283.0	360.0	186.0	205.0	547.0
alpha_rarefaction_6500_1.txt	6500	1	890.0	466.0	1791.0	268.0	366.0	187.0	200.0	552.0
alpha_rarefaction_6500_2.txt	6500	2	896.0	476.0	1813.0	270.0	348.0	199.0	207.0	562.0
alpha_rarefaction_6500_3.txt	6500	3	888.0	493.0	1842.0	264.0	346.0	188.0	211.0	543.0
alpha_rarefaction_6500_4.txt	6500	4	872.0	483.0	1841.0	261.0	360.0	184.0	193.0	549.0
alpha_rarefaction_6500_5.txt	6500	5	900.0	467.0	1824.0	271.0	370.0	180.0	203.0	560.0
alpha_rarefaction_6500_6.txt	6500	6	872.0	481.0	1834.0	272.0	358.0	188.0	208.0	541.0
alpha_rarefaction_6500_7.txt	6500	7	908.0	475.0	1843.0	267.0	352.0	178.0	214.0	539.0
alpha_rarefaction_6500_8.txt	6500	8	870.0	464.0	1810.0	273.0	371.0	186.0	212.0	535.0
alpha_rarefaction_6500_9.txt	6500	9	884.0	460.0	1877.0	256.0	347.0	197.0	211.0	526.0
alpha_rarefaction_7500_0.txt	7500	0	920.0	487.0	1974.0	276.0	372.0	202.0	205.0	562.0
alpha_rarefaction_7500_1.txt	7500	1	942.0	494.0	1979.0	278.0	373.0	198.0	213.0	572.0
alpha_rarefaction_7500_2.txt	7500	2	934.0	495.0	1931.0	278.0	370.0	199.0	220.0	564.0
alpha_rarefaction_7500_3.txt	7500	3	933.0	483.0	1983.0	271.0	371.0	195.0	220.0	542.0
alpha_rarefaction_7500_4.txt	7500	4	932.0	480.0	1982.0	283.0	367.0	205.0	221.0	557.0
alpha_rarefaction_7500_5.txt	7500	5	932.0	476.0	1976.0	276.0	373.0	195.0	218.0	564.0
alpha_rarefaction_7500_6.txt	7500	6	927.0	494.0	1989.0	289.0	362.0	197.0	228.0	586.0
alpha_rarefaction_7500_7.txt	7500	7	949.0	486.0	2026.0	272.0	376.0	195.0	224.0	576.0
alpha_rarefaction_7500_8.txt	7500	8	933.0	504.0	1962.0	281.0	373.0	194.0	213.0	558.0
alpha_rarefaction_7500_9.txt	7500	9	920.0	471.0	2025.0	282.0	370.0	199.0	219.0	584.0
alpha_rarefaction_8500_0.txt	8500	0	983.0	502.0	2118.0	279.0	369.0	202.0	221.0	599.0
alpha_rarefaction_8500_1.txt	8500	1	948.0	521.0	2081.0	289.0	386.0	199.0	223.0	596.0
alpha_rarefaction_8500_2.txt	8500	2	954.0	493.0	2135.0	285.0	381.0	206.0	219.0	579.0
alpha_rarefaction_8500_3.txt	8500	3	981.0	512.0	2186.0	274.0	387.0	205.0	210.0	582.0
alpha_rarefaction_8500_4.txt	8500	4	967.0	514.0	2147.0	289.0	394.0	202.0	229.0	587.0
alpha_rarefaction_8500_5.txt	8500	5	976.0	516.0	2128.0	289.0	387.0	202.0	227.0	611.0
alpha_rarefaction_8500_6.txt	8500	6	963.0	507.0	2077.0	280.0	375.0	208.0	222.0	585.0
alpha_rarefaction_8500_7.txt	8500	7	951.0	493.0	2131.0	284.0	377.0	206.0	232.0	586.0
alpha_rarefaction_8500_8.txt	8500	8	961.0	516.0	2100.0	283.0	384.0	203.0	234.0	582.0
alpha_rarefaction_8500_9.txt	8500	9	954.0	504.0	2118.0	282.0	370.0	207.0	229.0	607.0
alpha_rarefaction_9500_0.txt	9500	0	979.0	514.0	2190.0	286.0	395.0	209.0	236.0	613.0
alpha_rarefaction_9500_1.txt	9500	1	974.0	522.0	2258.0	289.0	390.0	215.0	237.0	624.0
alpha_rarefaction_9500_2.txt	9500	2	980.0	543.0	2245.0	294.0	391.0	206.0	231.0	626.0
alpha_rarefaction_9500_3.txt	9500	3	994.0	531.0	2241.0	290.0	388.0	205.0	236.0	609.0
alpha_rarefaction_9500_4.txt	9500	4	1010.0	509.0	2199.0	289.0	394.0	205.0	232.0	615.0
alpha_rarefaction_9500_5.txt	9500	5	978.0	512.0	2254.0	290.0	390.0	204.0	234.0	625.0
alpha_rarefaction_9500_6.txt	9500	6	998.0	514.0	2184.0	283.0	402.0	214.0	248.0	620.0
alpha_rarefaction_9500_7.txt	9500	7	990.0	523.0	2208.0	284.0	401.0	208.0	225.0	615.0
alpha_rarefaction_9500_8.txt	9500	8	968.0	516.0	2217.0	287.0	414.0	198.0	224.0	621.0
alpha_rarefaction_9500_9.txt	9500	9	992.0	508.0	2295.0	286.0	389.0	204.0	227.0	607.0
alpha_rarefaction_10500_0.txt	10500	0	1028.0	533.0	2359.0	297.0	404.0	212.0	240.0	632.0
alpha_rarefaction_10500_1.txt	10500	1	1024.0	537.0	2306.0	290.0	409.0	203.0	242.0	627.0
alpha_rarefaction_10500_2.txt	10500	2	1009.0	545.0	2339.0	289.0	398.0	209.0	221.0	643.0
alpha_rarefaction_10500_3.txt	10500	3	1029.0	523.0	2318.0	289.0	414.0	196.0	238.0	636.0
alpha_rarefaction_10500_4.txt	10500	4	1004.0	538.0	2409.0	294.0	405.0	216.0	236.0	647.0
alpha_rarefaction_10500_5.txt	10500	5	1000.0	541.0	2394.0	297.0	407.0	217.0	231.0	639.0
alpha_rarefaction_10500_6.txt	10500	6	1006.0	528.0	2312.0	297.0	403.0	206.0	249.0	620.0
alpha_rarefaction_10500_7.txt	10500	7	1009.0	520.0	2319.0	297.0	403.0	212.0	248.0	654.0
alpha_rarefaction_10500_8.txt	10500	8	1014.0	523.0	2317.0	290.0	406.0	217.0	249.0	649.0
alpha_rarefaction_10500_9.txt	10500	9	1008.0	533.0	2329.0	291.0	405.0	209.0	240.0	652.0
alpha_rarefaction_11500_0.txt	11500	0	1042.0	560.0	2443.0	294.0	407.0	214.0	236.0	634.0
alpha_rarefaction_11500_1.txt	11500	1	1037.0	530.0	2402.0	295.0	414.0	211.0	231.0	664.0
alpha_rarefaction_11500_2.txt	11500	2	1044.0	540.0	2428.0	295.0	408.0	208.0	249.0	650.0
alpha_rarefaction_11500_3.txt	11500	3	1059.0	554.0	2484.0	292.0	403.0	213.0	242.0	651.0
alpha_rarefaction_11500_4.txt	11500	4	1035.0	544.0	2464.0	295.0	409.0	218.0	255.0	669.0
alpha_rarefaction_11500_5.txt	11500	5	1032.0	552.0	2480.0	295.0	406.0	214.0	238.0	645.0
alpha_rarefaction_11500_6.txt	11500	6	1055.0	547.0	2471.0	301.0	402.0	212.0	245.0	660.0
alpha_rarefaction_11500_7.txt	11500	7	1027.0	548.0	2474.0	295.0	409.0	218.0	240.0	664.0
alpha_rarefaction_11500_8.txt	11500	8	1030.0	550.0	2454.0	302.0	401.0	213.0	248.0	667.0
alpha_rarefaction_11500_9.txt	11500	9	1032.0	534.0	2516.0	293.0	408.0	211.0	247.0	650.0
alpha_rarefaction_12500_0.txt	12500	0	1053.0	560.0	2568.0	303.0	417.0	222.0	267.0	661.0
alpha_rarefaction_12500_1.txt	12500	1	1058.0	562.0	2548.0	305.0	419.0	220.0	249.0	679.0
alpha_rarefaction_12500_2.txt	12500	2	1054.0	573.0	2500.0	301.0	411.0	219.0	253.0	683.0
alpha_rarefaction_12500_3.txt	12500	3	1061.0	543.0	2550.0	295.0	421.0	220.0	259.0	679.0
alpha_rarefaction_12500_4.txt	12500	4	1034.0	561.0	2569.0	297.0	404.0	217.0	253.0	673.0
alpha_rarefaction_12500_5.txt	12500	5	1040.0	555.0	2512.0	301.0	426.0	220.0	242.0	668.0
alpha_rarefaction_12500_6.txt	12500	6	1053.0	563.0	2485.0	293.0	416.0	213.0	256.0	653.0
