	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	7.35808365477	6.31317622783	7.95220385041	5.86031152777	6.46394549979	4.18972575886	5.39128665508	6.49662210486
alpha_rarefaction_500_1.txt	500	1	7.37542409513	6.20472667196	7.78607147065	5.9238623428	6.36740034237	4.11575417703	5.308379951	6.17162685408
alpha_rarefaction_500_2.txt	500	2	7.26536235711	6.2698173362	7.7541702793	5.81488885503	6.5103954511	4.27900837047	5.21862346545	6.14751111602
alpha_rarefaction_500_3.txt	500	3	7.1015062131	6.38330274404	7.87212020343	5.67883287155	6.33388207873	4.3625398172	5.2017731452	6.32926399692
alpha_rarefaction_500_4.txt	500	4	7.19595971361	6.27901062729	7.98178584767	5.64267468467	6.48502252926	4.28656617202	5.351997159	6.15404946402
alpha_rarefaction_500_5.txt	500	5	7.17777186798	6.25141957737	7.81878329227	5.83039940065	6.34552183201	4.11542924056	5.3582576674	6.54657799899
alpha_rarefaction_500_6.txt	500	6	7.25046916702	6.23877957432	7.89811175434	5.69255219645	6.40068195513	4.39142523349	5.43008112466	6.38115283699
alpha_rarefaction_500_7.txt	500	7	7.1534653876	6.08287693917	7.91907415778	5.83873973952	6.51955428353	4.33769233787	5.29883900804	6.44985038368
alpha_rarefaction_500_8.txt	500	8	7.16517363647	6.15687370034	7.96818352727	5.75998701134	6.49004392765	4.23533959506	5.4557036109	6.30296301763
alpha_rarefaction_500_9.txt	500	9	7.13707008528	6.15259204313	7.8352708655	5.66225925176	6.38446985345	4.07300225523	5.22150534758	6.32708733646
alpha_rarefaction_1500_0.txt	1500	0	7.69812273078	6.52839996139	8.67996073391	6.02022412986	6.62467240304	4.45191729044	5.36651184012	6.77118144437
alpha_rarefaction_1500_1.txt	1500	1	7.73842400767	6.48827068026	8.64962489401	6.03357577358	6.7328185172	4.35375908469	5.51501760683	6.71854731255
alpha_rarefaction_1500_2.txt	1500	2	7.61685140501	6.62046216575	8.54726568047	6.00191298797	6.63315497946	4.31441943967	5.40327841017	6.69802164921
alpha_rarefaction_1500_3.txt	1500	3	7.75775896046	6.55884122033	8.67865663958	5.94895386007	6.57670169295	4.29200978373	5.50299185107	6.73963997301
alpha_rarefaction_1500_4.txt	1500	4	7.64958966091	6.53168012153	8.70703360199	6.00909412911	6.68661309049	4.41453814475	5.42279334042	6.64211134468
alpha_rarefaction_1500_5.txt	1500	5	7.683487157	6.5916528841	8.61087051742	5.98992033061	6.70455157458	4.50601457556	5.43534709221	6.74738924695
alpha_rarefaction_1500_6.txt	1500	6	7.71785421749	6.39362132874	8.70900020584	5.97887064823	6.68827117127	4.45464939096	5.45775949445	6.70475287674
alpha_rarefaction_1500_7.txt	1500	7	7.7873088726	6.58522571658	8.63954126863	6.07250044096	6.66041916824	4.41172190217	5.45276348928	6.65821133471
alpha_rarefaction_1500_8.txt	1500	8	7.74249563499	6.44751315309	8.69997937703	6.06387921435	6.75828854044	4.39299303072	5.53413978014	6.67762986635
