	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_500_0.txt	500	0	0.98556	0.974976	0.992808	0.969352	0.98072	0.883664	0.964664	0.980184
alpha_rarefaction_500_1.txt	500	1	0.986352	0.973888	0.990552	0.972328	0.9796	0.885472	0.960592	0.97228
alpha_rarefaction_500_2.txt	500	2	0.986464	0.977216	0.99136	0.967656	0.980672	0.8982	0.958136	0.971968
alpha_rarefaction_500_3.txt	500	3	0.983104	0.979024	0.992056	0.96568	0.97668	0.896776	0.958184	0.976672
alpha_rarefaction_500_4.txt	500	4	0.985984	0.975944	0.993824	0.96356	0.979872	0.897968	0.960368	0.974544
alpha_rarefaction_500_5.txt	500	5	0.985144	0.975016	0.992344	0.966208	0.976536	0.88008	0.962864	0.981016
alpha_rarefaction_500_6.txt	500	6	0.986248	0.972824	0.992072	0.963216	0.977008	0.886904	0.96196	0.97816
alpha_rarefaction_500_7.txt	500	7	0.982496	0.971016	0.9918	0.968104	0.98228	0.908616	0.9622	0.978872
alpha_rarefaction_500_8.txt	500	8	0.986232	0.97228	0.993568	0.965664	0.982464	0.893504	0.962704	0.975088
alpha_rarefaction_500_9.txt	500	9	0.983576	0.975464	0.98896	0.96412	0.980968	0.876952	0.95716	0.974024
alpha_rarefaction_1500_0.txt	1500	0	0.985208888889	0.975565333333	0.993521777778	0.969392888889	0.980743111111	0.894736	0.961048	0.980619555556
alpha_rarefaction_1500_1.txt	1500	1	0.987925333333	0.976790222222	0.993066666667	0.969018666667	0.982127111111	0.888996444444	0.963275555556	0.979137777778
alpha_rarefaction_1500_2.txt	1500	2	0.986328	0.977663111111	0.991556444444	0.970579555556	0.981789333333	0.890968888889	0.960749333333	0.979658666667
alpha_rarefaction_1500_3.txt	1500	3	0.987173333333	0.977886222222	0.993554666667	0.968499555556	0.979962666667	0.879536888889	0.964072	0.980349333333
alpha_rarefaction_1500_4.txt	1500	4	0.984391111111	0.976860444444	0.993935111111	0.968160888889	0.980976	0.902923555556	0.961086222222	0.979461333333
alpha_rarefaction_1500_5.txt	1500	5	0.985460444444	0.975797333333	0.992023111111	0.967668444444	0.982206222222	0.897861333333	0.961169777778	0.979968
alpha_rarefaction_1500_6.txt	1500	6	0.986351111111	0.972203555556	0.993478222222	0.967048888889	0.982541333333	0.893192888889	0.961745777778	0.979999111111
alpha_rarefaction_1500_7.txt	1500	7	0.986420444444	0.977559111111	0.993304888889	0.96992	0.981816	0.895126222222	0.961853333333	0.977486222222
alpha_rarefaction_1500_8.txt	1500	8	0.988263111111	0.974490666667	0.992858666667	0.971331555556	0.981976888889	0.893208888889	0.962322666667	0.980152
alpha_rarefaction_1500_9.txt	1500	9	0.984752888889	0.977048	0.993735111111	0.967604444444	0.984317333333	0.891264	0.961658666667	0.979842666667
alpha_rarefaction_2500_0.txt	2500	0	0.98650464	0.97605376	0.99402688	0.97025184	0.98231968	0.89054656	0.9633216	0.98008864
alpha_rarefaction_2500_1.txt	2500	1	0.98567776	0.97686848	0.99405984	0.96734784	0.97944768	0.88991168	0.96342752	0.98098816
alpha_rarefaction_2500_2.txt	2500	2	0.98707136	0.97491584	0.9938528	0.96980064	0.98255872	0.8911296	0.96162048	0.97910208
alpha_rarefaction_2500_3.txt	2500	3	0.9878096	0.9781296	0.99384064	0.96947008	0.98119488	0.88562848	0.9612416	0.9804704
alpha_rarefaction_2500_4.txt	2500	4	0.98624832	0.97575552	0.9940096	0.9680864	0.98158624	0.88888064	0.96171168	0.98000608
alpha_rarefaction_2500_5.txt	2500	5	0.98746912	0.97757568	0.9923296	0.96847776	0.98208992	0.88412864	0.96297376	0.98008928
alpha_rarefaction_2500_6.txt	2500	6	0.98799392	0.97561344	0.99386912	0.97080864	0.98122816	0.892408	0.9632288	0.98022048
alpha_rarefaction_2500_7.txt	2500	7	0.9873936	0.97572384	0.992656	0.96921952	0.98220288	0.89158624	0.96170528	0.98049216
alpha_rarefaction_2500_8.txt	2500	8	0.9844336	0.97596	0.99384704	0.9703888	0.98173248	0.8979968	0.96146208	0.97879712
alpha_rarefaction_2500_9.txt	2500	9	0.98632288	0.9754704	0.99413056	0.96937152	0.9809248	0.891112	0.96133632	0.97975744
alpha_rarefaction_3500_0.txt	3500	0	0.986124734694	0.97587444898	0.994176979592	0.967784489796	0.981684897959	0.895919183673	0.963375510204	0.980324571429
alpha_rarefaction_3500_1.txt	3500	1	0.98621355102	0.976648163265	0.993963102041	0.968843102041	0.982182693878	0.895110367347	0.962089469388	0.979752979592
alpha_rarefaction_3500_2.txt	3500	2	0.985134857143	0.975225795918	0.993396734694	0.968709387755	0.981736489796	0.889413714286	0.962735510204	0.981345959184
alpha_rarefaction_3500_3.txt	3500	3	0.985866285714	0.975103673469	0.99286155102	0.967504326531	0.981401306122	0.89518922449	0.963402938776	0.980068571429
alpha_rarefaction_3500_4.txt	3500	4	0.987070040816	0.975283918367	0.993473959184	0.967765877551	0.983083265306	0.880294530612	0.962968	0.981436244898
alpha_rarefaction_3500_5.txt	3500	5	0.985825795918	0.976189061224	0.993109877551	0.96843722449	0.982009795918	0.892528	0.960518367347	0.981142693878
alpha_rarefaction_3500_6.txt	3500	6	0.98572277551	0.975793959184	0.994093387755	0.967232163265	0.980807183673	0.890495510204	0.960401469388	0.981360163265
alpha_rarefaction_3500_7.txt	3500	7	0.986140571429	0.976059591837	0.993331265306	0.969201632653	0.980935673469	0.901977142857	0.961805714286	0.98132555102
alpha_rarefaction_3500_8.txt	3500	8	0.986699918367	0.975030693878	0.994238204082	0.96609077551	0.982032816327	0.890991673469	0.961608816327	0.980713142857
alpha_rarefaction_3500_9.txt	3500	9	0.986704653061	0.976435591837	0.994056489796	0.968093387755	0.981737632653	0.891896816327	0.963282122449	0.97818644898
alpha_rarefaction_4500_0.txt	4500	0	0.987080987654	0.975948246914	0.993476641975	0.967074666667	0.981844641975	0.886705481481	0.962804049383	0.98066854321
alpha_rarefaction_4500_1.txt	4500	1	0.987536493827	0.975545580247	0.993466962963	0.968587160494	0.982051061728	0.892711111111	0.961166222222	0.980822518519
alpha_rarefaction_4500_2.txt	4500	2	0.987100148148	0.976334518519	0.993291753086	0.967772641975	0.981931259259	0.890617777778	0.961459259259	0.980966814815
alpha_rarefaction_4500_3.txt	4500	3	0.986604938272	0.975762666667	0.993412444444	0.96835782716	0.981398320988	0.891097481481	0.962481481481	0.97994182716
