# Constructed from biom file
#OTU ID	D1	D3	WC	D5	SW	D4	D6	D2	taxonomy
OTU_152	659.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Lentisphaerae; D_2__Lentisphaeria; D_3__Victivallales; D_4__GWF2-44-16; D_5__uncultured organism; D_6__uncultured organism
OTU_93	3.0	1093.0	0.0	0.0	0.0	0.0	1.0	2.0	Unassigned
OTU_4350	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Parcubacteria; D_3__Candidatus Kaiserbacteria
OTU_71	61.0	245.0	1.0	1522.0	0.0	149.0	0.0	11.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_150	167.0	0.0	0.0	0.0	0.0	0.0	0.0	504.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_608	0.0	0.0	1.0	0.0	73.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Chlamydiales; D_4__Simkaniaceae; D_5__uncultured; D_6__uncultured Chlamydia sp.
OTU_1	2.0	0.0	1.0	50.0	0.0	19942.0	0.0	2301.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Thiotrichales; D_4__Thiotrichaceae; D_5__Thiothrix
OTU_15	23.0	1.0	0.0	14.0	3170.0	0.0	2.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__SM2D12; D_5__metagenome; D_6__metagenome
OTU_303	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Cellvibrionales; D_4__Cellvibrionaceae; D_5__Cellvibrio
OTU_349	0.0	0.0	0.0	44.0	0.0	273.0	0.0	0.0	D_0__Bacteria; D_1__Omnitrophicaeota; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
