phylum,class,new_taxonomy,color,subplot,color_subplot
Euryarchaeota,Methanobacteria,,#560b8e,A,#560b8e
Hadesarchaeota,YNP-45,,#DECBFF,A,#DECBFF
Halobacterota,Methanosarcinia,,#8A11E4,A,#8A11E4
JdFR-18,JdFR-18,Hydrothermarchaeota,#BAA2E6,A,#BAA2E6
Micrarchaeota,Micrarchaeia,,#C288EC,A,#C288EC
Micrarchaeota,Iainarchaeia,Iainarchaeota,#C288EC,A,#AB5ce5
Nanoarchaeota,Woesearchaeia,,#D3AAF1,A,#D3AAF1
AABM5-125-24,AABM5-125-24,,#DAF2DB,,
Acidobacteriota,Luteitaleia,,#5200D1,N,
Acidobacteriota,Thermoanaerobaculia,,#5200D1,N,
Acidobacteriota,Blastocatellia,,#5200D1,N,
Actinobacteriota,RBG-13-55-18,,#005CFF,N,
Actinobacteriota,UBA9087,,#005CFF,N,
Actinobacteriota,,,#005CFF,N,
Actinobacteriota,Thermoleophilia,,#005CFF,N,
Actinobacteriota,UBA4738,,#005CFF,N,
Actinobacteriota,Actinobacteria,,#005CFF,N,
Armatimonadota,,,#79D9F2,N,
Bacteroidota,UBA10030,,#0084FF,N,
Bacteroidota,Ignavibacteria,,#0084FF,N,
Bacteroidota,Bacteroidia,,#0084FF,N,
Bacteroidota,Kapabacteria,,#0084FF,N,
Bdellovibrionota,Bacteriovoracia,,#F0F0F0,P,#F0F0F0
Bipolaricaulota,Bipolaricaulia,,#79f27e,,
Chloroflexota,Anaerolineae,,#00B9E0,N,
Chloroflexota,,,#00B9E0,N,
Chloroflexota,Dehalococcoidia,,#00B9E0,N,
Cyanobacteriota,Vampirovibrionia,,#CCD0FF,N,
Cyanobacteriota,Cyanobacteriia,,#CCD0FF,N,
Dadabacteria,UBA1144,,#00a808,C,#00a808
Deferrisomatota,Deferrisomatia,,#118822,N,
Dependentiae,Babeliae,,#ff7f70,C,#ff7f70
Desulfobacterota,Desulfovibrionia,,#989898,P,#989898
Desulfobacterota,Desulfobulbia,,#989898,P,#989898
Desulfobacterota,Desulfobacteria,,#989898,P,#989898
Desulfobacterota,Desulfarculia,,#989898,P,#989898
Desulfobacterota,Desulfobaccia,,#989898,P,#989898
Desulfobacterota,Syntrophia,,#989898,P,#989898
Desulfobacterota,Desulfomonilia,,#989898,P,#989898
Desulfobacterota,BSN033,,#989898,P,#989898
Desulfobacterota,JdFR-97,,#989898,P,#989898
Edwardsbacteria,AC1,,#003302,N,
Eisenbacteria,RBG-16-71-46,,#b5f279,N,
Elusimicrobiota,Elusimicrobia,,#0085A8,N,
Elusimicrobiota,Endomicrobia,,#0085A8,N,
Eremiobacterota,Eremiobacteria,,#72e500,N,
Eremiobacterota,,,#72e500,N,
Firmicutes,Bacilli,,#7984F2,N,
Firmicutes,Alicyclobacillia,,#7984F2,N,
Firmicutes_B,Desulfotomaculia,,#9099f4,N,
Firmicutes_B,Thermincolia,,#9099f4,N,
Firmicutes_D,Dethiobacteria,,#4b59ed,N,
Firmicutes_E,DTU015,,#3344eb,N,
Firmicutes_E,UBA3569,,#3344eb,N,
Fusobacteriota,,,#3f457F,N,
Gemmatimonadota,GCA-2686955,,#005566,N,
Goldbacteria-1,Goldbacteria-1,,#ffff99,N,
Latescibacterota,UBA2968,,#edf2da,N,
Margulisbacteria,WOR-1,,#ccddaa,C,#f2d479
MBNT15,MBNT15,Desulfobacterota,#d0d8ad,P,
Myxococcota,UBA1671,,#222299,N,
Nitrospirota,Nitrospiria,,#112288,N,
Nitrospirota,Thermodesulfovibrionia,,#112288,N,
Nitrospirota,UBA9217,,#112288,N,
OLB16,OLB16,,#e6ffb3,N,
Omnitrophota,koll11,,#ccff66,N,
Omnitrophota,UBA9649,,#ccff66,N,
Omnitrophota,4484-49,,#ccff66,N,
Omnitrophota,Omnitrophia,,#ccff66,N,
Patescibacteria,Paceibacteria,,#ffb366,C,#a81100
Patescibacteria,ABY1,,#ffb366,C,#f39c12
Patescibacteria,Microgenomatia,,#ffb366,C,#992222
Patescibacteria,Berkelbacteria,,#ffb366,C,#F28579
Patescibacteria,Dojkabacteria,,#ffb366,C,#f1c40f
Patescibacteria,Gracilibacteria,,#ffb366,C,#7f463f
Patescibacteria,,,#ffb366,C,#ffb366
Patescibacteria,Kazan,,#ffb366,C,#ff9933
Patescibacteria,WWE3,,#ffb366,C,#e65c00
Planctomycetota,UBA8742,,#0015E5,N,
Planctomycetota,Brocadiae,,#0015E5,N,
Planctomycetota,Phycisphaerae,,#0015E5,N,
Planctomycetota,,,#0015E5,N,
Planctomycetota,Planctomycetes,,#0015E5,N,
Planctomycetota,UBA11346,,#0015E5,N,
Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,#C8C8C8,P,
Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,#202020,P,
Spirochaetota,Brevinematia,,#111188,N,
Thermoplasmatota,Thermoplasmata_A,,#342D62,A,
Thermoplasmatota,CG49143,,#342D62,A,
Thermoplasmatota,E2,,#342D62,A,
UBA10199,UBA10199,,#6D7073,P,#6D7073
UBA3054,UBA3054,,#fff770,N,
UBA9089,UBA9088,,#f2eb79,N,
UBA9089,CG2-30-40-21,,#f2eb79,N,
UBP1,PRR-12,,#a89e00,,
Verrucomicrobiota,Chlamydiia,,#001166,N,
Verrucomicrobiota,Lentisphaeria,,#001166,N,
Verrucomicrobiota,Verrucomicrobiae,,#001166,N,
Zixibacteria,MSB-5A5,,#ffdc70,N,
