site,domain,phylum,class,order,family,genus,species,abundance
D1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,,1
D1,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,,1
D1,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,CG1-02-32-21,,,1
D1,Archaea,Nanoarchaeota,Woesearchaeia,UBA10200,UBA10200,,,1
D1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_P,,1
D1,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,,,1
D1,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,,1
D1,Bacteria,Patescibacteria,ABY1,UBA1544,,,,1
D1,Bacteria,Patescibacteria,ABY1,UBA2591,,,,1
D1,Bacteria,Patescibacteria,ABY1,Uhrbacterales,2-12-FULL-60-25,2-12-FULL-60-25,,1
D1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,,1
D1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,,1
D1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5,1
D1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Variovorax paradoxus_B,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionella,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,,1
D1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,GCF_000510915.2,1
D1,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,,1
D1,Bacteria,UBA9089,UBA9088,UBA9088,,,,1
D1,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,,,,1
D1,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1784,GWF2-50-93,,,1
D2,Archaea,Micrarchaeota,Iainarchaeia,0-14-0-20-30-16,,,,1
D2,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,,,,1
D2,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,1-14-0-10-31-34,1-14-0-10-31-34,,1
D2,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,,1
D2,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,,,,1
D2,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,,1
D2,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,,,1
D2,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR15,GW2011-AR15,,,1
D2,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,SM23-78,,,1
D2,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,UBA9642,UBA9642,,1
D2,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,,1
D2,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,,1
D2,Bacteria,AABM5-125-24,AABM5-125-24,,,,,1
D2,Bacteria,Acidobacteriota,Luteitaleia,,,,,1
D2,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,,,1
D2,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,UBA1563,,1
D2,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,navibacteriae-3,,1
D2,Bacteria,Bacteroidota,UBA10030,UBA10030,,,,1
D2,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,UBA9647,,1
D2,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,,1
D2,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,,,,1
D2,Bacteria,Desulfobacterota,Desulfobaccia,RBG-13-43-22,,,,1
D2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,BuS5,,,1
D2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,,,1
D2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,,1
D2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,,,2
D2,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,YD0425bin50,,,1
D2,Bacteria,Desulfobacterota,Desulfobulbia,,,,,1
D2,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,,1
D2,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,,1
D2,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,CG2-30-49-12,CG2-30-49-12,,1
D2,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619,,1
D2,Bacteria,Eisenbacteria,RBG-16-71-46,,,,,1
D2,Bacteria,Latescibacterota,UBA2968,UBA8231,,,,1
D2,Bacteria,MBNT15,MBNT15,MBNT15,,,,1
D2,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,,1
D2,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,RBG-16-64-85,,1
D2,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,,,2
D2,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,,3
D2,Bacteria,Omnitrophota,4484-49,,,,,1
D2,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,,,,1
D2,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,,2
D2,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,,2
D2,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183,,1
D2,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,,,1
D2,Bacteria,Omnitrophota,koll11,UBA1572,,,,1
D2,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,,2
D2,Bacteria,Omnitrophota,UBA9649,UBA9649,UBA9649,2-02-FULL-67-20,,1
D2,Bacteria,Patescibacteria,ABY1,Falkowbacterales,GWE2-39-37,,,1
D2,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,,2
D2,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA917,,,1
D2,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,,1
D2,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,,1
D2,Bacteria,Patescibacteria,ABY1,Veblenbacterales,,,,1
D2,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,,1
D2,Bacteria,Patescibacteria,ABY1,XYB2-FULL-38-15,,,,1
D2,Bacteria,Patescibacteria,Berkelbacteria,,,,,1
D2,Bacteria,Patescibacteria,Berkelbacteria,2-12-FULL-50-11,,,,1
D2,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,,,1
D2,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,,1
D2,Bacteria,Patescibacteria,Microgenomatia,UBA10105,,,,1
D2,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,,,1
D2,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,,2
D2,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA12445,,,1
D2,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Vogelbacteraceae,,,1
D2,Bacteria,Planctomycetota,Brocadiae,,,,,1
D2,Bacteria,Planctomycetota,Brocadiae,SM23-32,,,,1
D2,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,,,,1
D2,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,,,1
D2,Bacteria,Planctomycetota,UBA8742,,,,,1
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Thiomonas,,1
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,,2
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,,1
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,,1
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,,1
D2,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,,1
D2,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,,,2
D2,Bacteria,UBP1,PRR-12,LZORAL124-64-63,LZORAL124-64-63,um-filter-65-15,,1
D2,Bacteria,Zixibacteria,MSB-5A5,,,,,4
D2,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,,1
D2,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,,,1
D3,Archaea,Micrarchaeota,Iainarchaeia,,,,,1
D3,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,,1
D3,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,,3
D3,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA8480,,,1
D3,Archaea,Nanoarchaeota,Woesearchaeia,ARS49,GCA-2687275,,,1
D3,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR9,GW2011-AR9,um-filter-33-13,,1
D3,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,GW2011-AR1,,,1
D3,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA10107,,,1
D3,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,,1
D3,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,,1
D3,Archaea,Thermoplasmatota,E2,hermoplasmata-2,hermoplasmata-2,hermoplasmata-2,,1
D3,Bacteria,AABM5-125-24,AABM5-125-24,,,,,1
D3,Bacteria,Actinobacteriota,,,,,,1
D3,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,,1
D3,Bacteria,Actinobacteriota,Thermoleophilia,,,,,1
D3,Bacteria,Actinobacteriota,UBA4738,,,,,1
D3,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,,1
D3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,,,1
D3,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,,1
D3,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,,1
D3,Bacteria,Bacteroidota,UBA10030,UBA10030,,,,1
D3,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,,,1
D3,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,,1
D3,Bacteria,Chloroflexota,,,,,,1
D3,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,,1
D3,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1,1
D3,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,,2
D3,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,,1
D3,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,,1
D3,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5616,,,1
D3,Bacteria,Desulfobacterota,Desulfobulbia,,,,,1
D3,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,,3
D3,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,,1
D3,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,,,1
D3,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,,1
D3,Bacteria,Eisenbacteria,RBG-16-71-46,,,,,1
D3,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,,1
D3,Bacteria,Firmicutes_E,DTU015,UBA8153,,,,1
D3,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,,2
D3,Bacteria,Firmicutes_E,DTU015,UBA995,,,,1
D3,Bacteria,Fusobacteriota,,,,,,1
D3,Bacteria,Goldbacteria-1,Goldbacteria-1,,,,,1
D3,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,,,,1
D3,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,,1
D3,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,,,1
D3,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,,1
D3,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,,2
D3,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,,1
D3,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,,2
D3,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,,1
D3,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,,,1
D3,Bacteria,OLB16,OLB16,OLB16,OLB16,,,1
D3,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,,1
D3,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,,1
D3,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,,1
D3,Bacteria,Omnitrophota,koll11,UBA10183,,,,1
D3,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,,2
D3,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,,1
D3,Bacteria,Omnitrophota,koll11,UBA6215,,,,1
D3,Bacteria,Patescibacteria,ABY1,,,,,1
D3,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,,1
D3,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,,1
D3,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,,1
D3,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,,1
D3,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,,1
D3,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,,1
D3,Bacteria,Patescibacteria,Dojkabacteria,SC72,GCA-002793355,GCA-002793355,,1
D3,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,,1
D3,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,,,1
D3,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,,1
D3,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,XYB1-FULL-47-11,,1
D3,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,,1
D3,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,,,1
D3,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,,1
D3,Bacteria,Patescibacteria,Paceibacteria,,,,,1
D3,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,,,1
D3,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,,,1
D3,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,,1
D3,Bacteria,Planctomycetota,,,,,,1
D3,Bacteria,Planctomycetota,Brocadiae,,,,,2
D3,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,,,1
