#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
DeMMO2_1	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	C-S-05:Hydrogen generation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	C-S-05:Hydrogen generation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	C-S-06:Fermentation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-02:Carbon fixation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	C-S-05:Hydrogen generation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-04:Acetate oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	C-S-06:Fermentation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-05:Hydrogen generation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	C-S-09:Hydrogen oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	N-S-01:Nitrogen fixation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-04:Sulfite oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-05:Sulfate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-07:Thiosulfate oxidation	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-08:Thiosulfate disproportionation 1	Gammaproteobacteria	0.023207917397894
DeMMO2_1	C-S-09:Hydrogen oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.023207917397894
DeMMO2_1	N-S-01:Nitrogen fixation	N-S-04:Nitrate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	N-S-01:Nitrogen fixation	N-S-06:Nitric oxide reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	N-S-01:Nitrogen fixation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.023207917397894
DeMMO2_1	N-S-01:Nitrogen fixation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.023207917397894
DeMMO2_1	N-S-01:Nitrogen fixation	S-S-01:Sulfide oxidation	Gammaproteobacteria	0.023207917397894
