#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
DeMMO3_1	C-S-01:Organic carbon oxidation	C-S-05:Hydrogen generation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-05:Hydrogen generation	C-S-06:Fermentation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-05:Hydrogen generation	O-S-02:Arsenate reduction	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-05:Hydrogen generation	S-S-03:Sulfur oxidation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-06:Fermentation	O-S-02:Arsenate reduction	Edwardsbacteria	0.00811034102477145
DeMMO3_1	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Edwardsbacteria	0.00811034102477145
DeMMO3_1	O-S-02:Arsenate reduction	S-S-03:Sulfur oxidation	Edwardsbacteria	0.00811034102477145
DeMMO3_10	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-01:Organic carbon oxidation	C-S-05:Hydrogen generation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-01:Organic carbon oxidation	N-S-01:Nitrogen fixation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-02:Carbon fixation	C-S-05:Hydrogen generation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-02:Carbon fixation	C-S-06:Fermentation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-02:Carbon fixation	N-S-01:Nitrogen fixation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-02:Carbon fixation	O-S-02:Arsenate reduction	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-05:Hydrogen generation	C-S-06:Fermentation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-05:Hydrogen generation	N-S-01:Nitrogen fixation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-05:Hydrogen generation	O-S-02:Arsenate reduction	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-06:Fermentation	N-S-01:Nitrogen fixation	Spirochaetota	0.0124511837901547
DeMMO3_10	C-S-06:Fermentation	O-S-02:Arsenate reduction	Spirochaetota	0.0124511837901547
DeMMO3_10	N-S-01:Nitrogen fixation	O-S-02:Arsenate reduction	Spirochaetota	0.0124511837901547
DeMMO3_100	C-S-01:Organic carbon oxidation	O-S-01:Metal reduction	MBNT15	0.00504791076200519
DeMMO3_100	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	MBNT15	0.00504791076200519
DeMMO3_100	O-S-01:Metal reduction	O-S-02:Arsenate reduction	MBNT15	0.00504791076200519
DeMMO3_11	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	C-S-09:Hydrogen oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	S-S-01:Sulfide oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	C-S-04:Acetate oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	C-S-06:Fermentation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	C-S-09:Hydrogen oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	N-S-06:Nitric oxide reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	S-S-01:Sulfide oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	S-S-03:Sulfur oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	S-S-04:Sulfite oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-02:Carbon fixation	S-S-05:Sulfate reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	C-S-06:Fermentation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	C-S-09:Hydrogen oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	N-S-06:Nitric oxide reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	S-S-01:Sulfide oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	S-S-04:Sulfite oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-04:Acetate oxidation	S-S-05:Sulfate reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	C-S-09:Hydrogen oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	S-S-01:Sulfide oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	S-S-04:Sulfite oxidation	Actinobacteriota	0.0160477216195414
DeMMO3_11	C-S-06:Fermentation	S-S-05:Sulfate reduction	Actinobacteriota	0.0160477216195414
