#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
SW_1	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	C-S-04:Acetate oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	C-S-06:Fermentation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-02:Carbon fixation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-04:Acetate oxidation	C-S-06:Fermentation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-04:Acetate oxidation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-04:Acetate oxidation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-04:Acetate oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-06:Fermentation	O-S-02:Arsenate reduction	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	N-S-08:Nitrite ammonification	O-S-02:Arsenate reduction	Gammaproteobacteria	0.00772152807000697
SW_1	N-S-08:Nitrite ammonification	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	N-S-08:Nitrite ammonification	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	O-S-02:Arsenate reduction	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.00772152807000697
SW_1	O-S-02:Arsenate reduction	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_1	S-S-03:Sulfur oxidation	S-S-09:Thiosulfate disproportionation 2	Gammaproteobacteria	0.00772152807000697
SW_10	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Gammaproteobacteria	0.015396584646201
SW_11	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Verrucomicrobiota	0.0104523561965659
SW_12	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-01:Organic carbon oxidation	C-S-05:Hydrogen generation	Cyanobacteriota	0.01706565162195
SW_12	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Cyanobacteriota	0.01706565162195
SW_12	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
SW_12	C-S-04:Acetate oxidation	C-S-05:Hydrogen generation	Cyanobacteriota	0.01706565162195
SW_12	C-S-04:Acetate oxidation	C-S-06:Fermentation	Cyanobacteriota	0.01706565162195
SW_12	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-04:Acetate oxidation	S-S-04:Sulfite oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-04:Acetate oxidation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
SW_12	C-S-05:Hydrogen generation	C-S-06:Fermentation	Cyanobacteriota	0.01706565162195
SW_12	C-S-05:Hydrogen generation	S-S-03:Sulfur oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-05:Hydrogen generation	S-S-04:Sulfite oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-05:Hydrogen generation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
SW_12	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-06:Fermentation	S-S-04:Sulfite oxidation	Cyanobacteriota	0.01706565162195
SW_12	C-S-06:Fermentation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
SW_12	S-S-03:Sulfur oxidation	S-S-04:Sulfite oxidation	Cyanobacteriota	0.01706565162195
SW_12	S-S-03:Sulfur oxidation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
SW_12	S-S-04:Sulfite oxidation	S-S-05:Sulfate reduction	Cyanobacteriota	0.01706565162195
