group,color,Lump,Category,Function
?,,Thermophilic,Thermophilic specific,Thermophilic specific
Carbon,#145214,heterotropy - AA,Amino acid utilization,4-aminobutyrate aminotransferase and related aminotransferases
Carbon,#145214,heterotropy - AA,Amino acid utilization,Aminotransferase class I and II
Carbon,#145214,heterotropy - AA,Amino acid utilization,Phosphoserine aminotransferase
Carbon,#145214,heterotropy - AA,Amino acid utilization,Ornithine/acetylornithine aminotransferase
Carbon,#145214,heterotropy - AA,Amino acid utilization,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
Carbon,#145214,heterotropy - AA,Amino acid utilization,Aspartate/tyrosine/aromatic aminotransferase
Carbon,#145214,heterotropy - AA,Amino acid utilization,Histidinol-phosphate/aromatic aminotransferase
Carbon,#145214,heterotropy - AA,Amino acid utilization,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
Carbon,#FFC273,heterotropy - fermentation,Ethanol fermentation,Acetate => Acetaldehyde
Carbon,#FFC273,heterotropy - fermentation,Ethanol fermentation,Acetaldehyde => Ethanol
Carbon,#FFDAAB,heterotrophy - lipid,Fatty acid degradation,Fatty acid degradation
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Protocatechuate/Catechol degradation
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Phenol => Benzoyl-CoA
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Phenol => Benzoyl-CoA
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Benzoyl-CoA reduction
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Benzoyl-CoA reduction
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Benzoyl-CoA reduction
Carbon,#FFDAAB,heterotrophy - lipid,Aromatics degradation,Benzoyl-CoA reduction
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Cellulose degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Cellulose degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Cellulose degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Hemicullulose debranching
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Hemicullulose debranching
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Hemicullulose debranching
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Endohemicellulases
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Endohemicellulases
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Other oligosaccharide degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Other oligosaccharide degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Other oligosaccharide degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Amylolytic enzymes
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Amylolytic enzymes
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Amylolytic enzymes
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Amylolytic enzymes
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Chitin degrading
Carbon,#BF9156,heterotrophy - carbs,Complex carbon degradation,Chitin degrading
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Pyruvate oxidation
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Alcohol utilization
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Lactate utilization
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Acetogenesis
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Acetogenesis
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Acetogenesis
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Acetate to acetyl-CoA
Carbon,#FFC273,heterotropy - fermentation,Fermentation,Pyruvate <=> acetyl-CoA + formate
Carbon,#2fc22f,C1 - MeOH,C1 metabolism,Methanol oxidation
Carbon,#2fc22f,C1 - MeOH,C1 metabolism,Methanol oxidation
Carbon,#A9DBA9,C1 - Mamine,C1 metabolism,Methyl amine -> formaldehyde
Carbon,#A9DBA9,C1 - Mamine,C1 metabolism,Methyl amine -> formaldehyde
Carbon,#1E7B1E,C1 - Formaldehyde,C1 metabolism,Formaldehyde oxidation
Carbon,#1E7B1E,C1 - Formaldehyde,C1 metabolism,Formaldehyde oxidation
Carbon,#1E7B1E,C1 - Formaldehyde,C1 metabolism,Formaldehyde oxidation
Carbon,#1E7B1E,C1 - Formaldehyde,C1 metabolism,Formaldehyde oxidation
Carbon,#1E7B1E,C1 - Formaldehyde,C1 metabolism,Formaldehyde oxidation
Carbon,#789B78,C1 - Formate,C1 metabolism,Formate oxidation
Carbon,#789B78,C1 - Formate,C1 metabolism,Formate oxidation
Carbon,#789B78,C1 - Formate,C1 metabolism,Formate oxidation
Carbon,#789B78,C1 - Formate,C1 metabolism,Formate oxidation
Carbon,#789B78,C1 - Formate,C1 metabolism,Formate oxidation
Carbon,#1e581e,C1 - CO-ox,C1 metabolism,Aerobic CO oxidation
Carbon,#1e581e,C1 - CO-ox,C1 metabolism,Aerobic CO oxidation
Carbon,#1e581e,C1 - CO-ox,C1 metabolism,Aerobic CO oxidation
Carbon,#A9DBA9,Methanotrophy,Methane metabolism,Methane oxidation - Partculate methane monooxygenase
Carbon,#A9DBA9,Methanotrophy,Methane metabolism,Methane oxidation - Partculate methane monooxygenase
Carbon,#A9DBA9,Methanotrophy,Methane metabolism,Methane oxidation - Partculate methane monooxygenase
