Category	Function	Gene abbreviation
Thermophilic specific	Thermophilic specific	rgy
Amino acid utilization	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases
Amino acid utilization	Aminotransferase class I and II	aminotransferase class I and II
Amino acid utilization	Phosphoserine aminotransferase	phosphoserine aminotransferase
Amino acid utilization	Ornithine/acetylornithine aminotransferase	ornithine/acetylornithine aminotransferase
Amino acid utilization	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
Amino acid utilization	Aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase
Amino acid utilization	Histidinol-phosphate/aromatic aminotransferase	histidinol-phosphate/aromatic aminotransferase
Amino acid utilization	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
Ethanol fermentation	Acetate => Acetaldehyde	acetate => acetaldehyde
Ethanol fermentation	Acetaldehyde => Ethanol	acetaldehyde => ethanol
Fatty acid degradation	Fatty acid degradation	acyl-CoA dehydrogenase
Aromatics degradation	Protocatechuate/Catechol degradation	catA
Aromatics degradation	Phenol => Benzoyl-CoA	ubiX
Aromatics degradation	Phenol => Benzoyl-CoA	bsdC
Aromatics degradation	Benzoyl-CoA reduction	bcrC
Aromatics degradation	Benzoyl-CoA reduction	bcrB
Aromatics degradation	Benzoyl-CoA reduction	bcrA
Aromatics degradation	Benzoyl-CoA reduction	bcrD
Complex carbon degradation	Cellulose degrading	cellobiosidase
Complex carbon degradation	Cellulose degrading	cellulase
Complex carbon degradation	Cellulose degrading	beta-glucosidase
Complex carbon degradation	Hemicullulose debranching	arabinosidase
Complex carbon degradation	Hemicullulose debranching	beta-glucuronidase
Complex carbon degradation	Hemicullulose debranching	alpha-L-rhamnosidase
Complex carbon degradation	Endohemicellulases	mannan endo-1,4-beta-mannosidase
Complex carbon degradation	Endohemicellulases	alpha-D-xyloside xylohydrolase
Complex carbon degradation	Other oligosaccharide degrading	beta-xylosidase
Complex carbon degradation	Other oligosaccharide degrading	beta-mannosidase
Complex carbon degradation	Other oligosaccharide degrading	beta-galactosidase
