site,genome,domain,phylum,class,order,family,genus,species
D1,8,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,CG1-02-32-21,NA,NA
D1,7,Archaea,Nanoarchaeota,Woesearchaeia,UBA10200,UBA10200,NA,NA
D1,25,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,NA,NA
D1,24,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,NA
D1,13,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Variovorax paradoxus_B
D1,10,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D1,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,GCF_000510915.2
D1,22,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,NA,NA
D1,18,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
D1,16,Bacteria,Patescibacteria,ABY1,UBA2591,NA,NA,NA
D1,11,Bacteria,Patescibacteria,ABY1,Uhrbacterales,2-12-FULL-60-25,2-12-FULL-60-25,NA
D1,23,Bacteria,Patescibacteria,ABY1,UBA1544,NA,NA,NA
D1,9,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D1,14,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D1,6,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,NA,NA
D1,19,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,NA,NA,NA
D1,3,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1784,GWF2-50-93,NA,NA
D1,20,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_P,NA
D1,17,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,NA,NA
D1,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA
D1,12,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D1,15,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D1,2,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,NA,NA
D1,21,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionella,NA
D1,4,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,NA
D2,30,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,SM23-78,NA,NA
D2,15,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,UBA9642,UBA9642,NA
D2,77,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,NA,NA
D2,42,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR15,GW2011-AR15,NA,NA
D2,14,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,NA,NA
D2,7,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,NA,NA
D2,26,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,NA,NA,NA
D2,91,Archaea,Micrarchaeota,Iainarchaeia,0-14-0-20-30-16,NA,NA,NA
