user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
SW_60	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__UBA5335;s__GCA_002862435.1	GCA_002862435.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__UBA5335;s__	97.99	0.63	GCA_002862435.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__UBA5335;s__	97.99	0.63	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_47	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	GCF_002117145.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	99.84	0.99	GCF_002117145.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	99.84	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium parvum	GCF_001447195.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium parvum	98.63	0.95	GCF_001447195.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium parvum	98.63	0.95	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_81	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__UBA6488;s__GCA_002083555.1	GCA_002083555.1	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__UBA6488;s__	97.51	0.25	GCA_002083555.1	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__UBA6488;s__	97.51	0.25	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	GCF_002117145.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	99.91	0.36	GCF_002117145.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedibacterales;f__Nucleicultricaceae;g__Nucleicultrix;s__Nucleicultrix amoebiphila	99.91	0.36	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_23	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilus;s__Vermiphilus pyriformis	GCA_000385635.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilus;s__Vermiphilus pyriformis	97.49	0.92	GCA_000385635.1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilus;s__Vermiphilus pyriformis	97.49	0.92	ANI/Placement	topological placement and ANI have congruent species assignments	
SW_75	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_34	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__Kaiserbacteraceae;g__GWA1-54-10;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_85	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__UBA1487;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_12	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Caenarcaniphilales;f__2-02-FULL-35-15;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
