site,genome,Completeness,Contamination,gene_count,domain,phylum,class,order,family,genus,species
D1,1,97.64,4.37,6297,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,GCF_000510915.2
D1,10,61.93,1.12,2509,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D1,11,59.8,0,912,Bacteria,Patescibacteria,ABY1,Uhrbacterales,2-12-FULL-60-25,2-12-FULL-60-25,
D1,12,58.68,9.02,1634,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D1,13,58.15,1.26,4967,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Variovorax paradoxus_B
D1,14,49.82,9.34,1307,Bacteria,UBA9089,UBA9088,UBA9088,,,
D1,15,48.68,1.54,1275,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D1,16,44.06,10.66,536,Bacteria,Patescibacteria,ABY1,UBA2591,,,
D1,17,43.19,0,1236,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,,
D1,18,39.32,2.7,603,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D1,19,37.78,1.01,1489,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,,,
D1,2,93.36,7.09,2978,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,,
D1,20,31.1,0.61,1648,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio_P,
D1,21,29.94,3.25,1583,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionella,
D1,22,29.65,0,322,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D1,23,26.62,0,420,Bacteria,Patescibacteria,ABY1,UBA1544,,,
D1,24,24.4,0.92,687,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA349,
D1,25,20.6,0.93,576,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,
D1,3,84.94,2.06,2754,Bacteria,Verrucomicrobiota,Lentisphaeria,UBA1784,GWF2-50-93,,
D1,4,79.35,0.96,2954,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,
D1,5,78.62,5.53,5051,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,
D1,6,76.3,0,1521,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,
D1,7,73.36,0.47,1415,Archaea,Nanoarchaeota,Woesearchaeia,UBA10200,UBA10200,,
D1,8,64.8,0.93,1610,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,CG1-02-32-21,,
D1,9,62.35,9.68,1588,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D2,1,99.48,0.57,3698,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,
D2,10,87.42,0.65,2933,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,,
D2,100,10.17,0,326,Bacteria,UBP1,PRR-12,LZORAL124-64-63,LZORAL124-64-63,um-filter-65-15,
D2,11,86.84,5.11,1276,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,,,
D2,12,86.57,9.51,2659,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,,
D2,13,86.57,0.96,2563,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,,
D2,14,86.14,0,1286,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,,
D2,15,82.71,0,1229,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,UBA9642,UBA9642,
