taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,Genome Completeness %,Genome Size   * assembled,Gene Count   * assembled,Scaffold Count   * assembled,Genome Bin Count   * assembled,CRISPR Count   * assembled,GC Count   * assembled,GC   * assembled,Coding Base Count   * assembled,Coding Base Count %   * assembled,Coding Base Count NP ,Coding Base Count NP % ,CDS Count   * assembled,CDS %   * assembled,RNA Count   * assembled,RNA %  * assembled,rRNA Count   * assembled,5S rRNA Count   * assembled,16S rRNA Count   * assembled,18S rRNA Count   * assembled,23S rRNA Count   * assembled,28S rRNA Count   * assembled,tRNA Count   * assembled,Other RNA Count   * assembled,Pseudo Genes Count ,Pseudo Genes % ,Unchar Count ,Unchar % ,Dubious Count,Dubious %,w/ Func Pred Count   * assembled,w/ Func Pred %   * assembled,w/o function prediction  * assembled,w/o function prediction %  * assembled,Orthologs Count,Orthologs %,Paralogs Count,Paralogs %,Obsolete Count ,Obsolete % ,Revised Count ,Revised % ,Fused Count ,Fused % ,Fusion Component Count ,Fusion component % ,COG Count   * assembled,COG %   * assembled,KOG Count ,KOG % ,Pfam Count   * assembled,Pfam %   * assembled,TIGRfam Count   * assembled,TIGRfam %   * assembled,Enzyme Count   * assembled,Enzyme %   * assembled,KEGG Count   * assembled,KEGG %   * assembled,Not KEGG Count   * assembled,Not KEGG %   * assembled,KO Count   * assembled,KO %   * assembled,Not KO Count   * assembled,Not KO %   * assembled,MetaCyc Count   * assembled,MetaCyc %   * assembled,Not MetaCyc Count   * assembled,Not MetaCyc %   * assembled,IMG Term Count ,IMG Term % ,IMG Pathwawy Count ,IMG Pathway % ,IMG Parts List Count ,IMG Parts List % ,MyIMG Annotation Count,MyIMG Annotation %,Signal Peptide Count ,Signal Peptide % ,Transmembrane Count ,Transmembrane % ,Horizontally Transferred Count,Horizontally Transferred %,Genome Property Count ,Genome Property % ,Ortholog Group Count,Paralog Group Count,COG Cluster Count   * assembled,KOG Cluster Count ,Pfam Cluster Count   * assembled,TIGRfam Cluster Count   * assembled,IMG Cluster Count,IMG Cluster %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,Biosynthetic Cluster Gene Count  * assembled,Biosynthetic Cluster Gene %  * assembled,Biosynthetic Cluster Count  * assembled,InterPro Count ,InterPro % 
2829239184,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Thermoplasmata archaeon DeMMO4_34,Argonne National Laboratory,2829239184,Euryarchaeota,Thermoplasmata,unclassified,unclassified,unclassified,unclassified,,474896,579,123,0,0,298338,0.63,438682,92.37,438682,92.37,565,97.58,13,2.25,1,0,0,0,1,0,12,0,0,0,1,0.17,0,0,433,74.78,132,22.8,0,0,0,0,0,0,0,0,0,0,0,0,448,77.37,0,0,415,71.68,136,23.49,127,21.93,143,24.7,422,72.88,213,36.79,352,60.79,113,19.52,452,78.07,0,0,0,0,0,0,0,0,3,0.52,112,19.34,215,37.13,0,0,0,0,387,0,425,132,0,0,565,97.58,122,0,0,0,0,0
2828804047,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Woesearchaeota archaeon DeMMO1_7,Argonne National Laboratory,2828804047,Candidatus Woesearchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,1198981,1481,240,0,0,455532,0.38,1090585,90.96,1090585,90.96,1448,97.77,33,2.23,0,0,0,0,0,0,31,0,0,0,0,0,0,0,852,57.53,596,40.24,0,0,0,0,0,0,0,0,0,0,0,0,886,59.82,0,0,755,50.98,249,16.81,171,11.55,198,13.37,1250,84.4,345,23.3,1103,74.48,145,9.79,1303,87.98,0,0,0,0,0,0,0,0,38,2.57,314,21.2,834,56.31,0,0,0,0,644,0,639,225,0,0,1451,97.97,240,0,0,0,0,0
2828951871,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Micrarchaeota bacterium DeMMO2_21,Argonne National Laboratory,2828951871,Candidatus Micrarchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,922997,1120,172,0,0,354884,0.38,842344,91.26,842344,91.26,1081,96.52,39,3.48,4,2,1,0,1,0,34,1,0,0,0,0,0,0,708,63.21,373,33.3,0,0,0,0,0,0,0,0,0,0,0,0,738,65.89,0,0,647,57.77,200,17.86,160,14.29,205,18.3,876,78.21,329,29.38,752,67.14,140,12.5,941,84.02,0,0,0,0,0,0,0,0,32,2.86,262,23.39,729,65.09,0,0,0,0,563,0,592,179,0,0,1107,98.84,186,0,0,0,0,0
2829232593,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Methanoperedens sp. DeMMO4_29,Argonne National Laboratory,2829232593,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,unclassified,,741699,1013,192,0,0,321402,0.43,661446,89.18,661446,89.18,995,98.22,18,1.78,0,0,0,0,0,0,15,0,0,0,0,0,0,0,662,65.35,333,32.87,0,0,0,0,0,0,0,0,0,0,0,0,706,69.69,0,0,646,63.77,258,25.47,188,18.56,199,19.64,796,78.58,336,33.17,659,65.05,170,16.78,825,81.44,0,0,0,0,0,0,0,0,15,1.48,153,15.1,139,13.72,0,0,0,0,573,0,605,247,0,0,987,97.43,204,0,0,0,0,0
2828920724,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Micrarchaeota bacterium DeMMO2_7,Argonne National Laboratory,2828920724,Candidatus Micrarchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,1379636,1481,108,0,0,711119,0.52,1260899,91.39,1260899,91.39,1436,96.96,45,3.04,3,1,1,0,1,0,41,1,0,0,0,0,0,0,858,57.93,578,39.03,0,0,0,0,0,0,0,0,0,0,0,0,902,60.9,0,0,821,55.44,310,20.93,267,18.03,310,20.93,1126,76.03,470,31.74,966,65.23,234,15.8,1202,81.16,0,0,0,0,0,0,0,0,59,3.98,375,25.32,806,54.42,0,0,0,0,711,0,766,286,0,0,1471,99.32,137,0,0,0,0,0
2829231995,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Thermoplasmata archaeon DeMMO4_28,Argonne National Laboratory,2829231995,Euryarchaeota,Thermoplasmata,unclassified,unclassified,unclassified,unclassified,,458070,597,119,0,0,167697,0.37,428245,93.49,428245,93.49,587,98.32,10,1.68,1,0,1,0,0,0,9,0,0,0,0,0,0,0,452,75.71,135,22.61,0,0,0,0,0,0,0,0,0,0,0,0,476,79.73,0,0,430,72.03,162,27.14,125,20.94,157,26.3,430,72.03,252,42.21,335,56.11,113,18.93,474,79.4,0,0,0,0,0,0,0,0,4,0.67,86,14.41,252,42.21,0,0,0,0,409,0,438,157,0,0,590,98.83,118,0,0,0,0,0
2829039759,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Nanoarchaeota archaeon DeMMO2_77,Argonne National Laboratory,2829039759,Nanoarchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,759431,891,173,0,0,377000,0.5,684844,90.18,684844,90.18,877,98.43,14,1.57,0,0,0,0,0,0,14,0,0,0,0,0,0,0,516,57.91,361,40.52,0,0,0,0,0,0,0,0,0,0,0,0,533,59.82,0,0,449,50.39,133,14.93,84,9.43,89,9.99,788,88.44,166,18.63,711,79.8,77,8.64,800,89.79,0,0,0,0,0,0,0,0,38,4.26,225,25.25,471,52.86,0,0,0,0,426,0,426,119,0,0,867,97.31,193,0,0,0,0,0
2829110909,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Woesearchaeota archaeon DeMMO3_27,Argonne National Laboratory,2829110909,Candidatus Woesearchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,1637270,1799,117,0,0,805241,0.49,1460177,89.18,1460177,89.18,1751,97.33,48,2.67,1,0,1,0,0,0,45,2,0,0,0,0,0,0,991,55.09,760,42.25,0,0,0,0,0,0,0,0,0,0,0,0,1028,57.14,0,0,898,49.92,282,15.68,193,10.73,220,12.23,1531,85.1,398,22.12,1353,75.21,175,9.73,1576,87.6,0,0,0,0,0,0,0,0,68,3.78,439,24.4,967,53.75,0,0,0,0,716,0,738,248,0,0,1773,98.55,211,0,0,0,0,0
2828967080,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Nanoarchaeota bacterium DeMMO2_30,Argonne National Laboratory,2828967080,Nanoarchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,1557010,1882,208,0,0,763357,0.49,1402573,90.08,1402573,90.08,1847,98.14,35,1.86,3,1,1,0,1,0,32,0,0,0,0,0,0,0,968,51.43,879,46.71,0,0,0,0,0,0,0,0,0,0,0,0,986,52.39,0,0,861,45.75,273,14.51,200,10.63,208,11.05,1639,87.09,366,19.45,1481,78.69,174,9.25,1673,88.89,0,0,0,0,0,0,0,0,81,4.3,459,24.39,935,49.68,0,0,0,0,698,0,708,237,0,0,1858,98.72,264,0,0,0,0,0
2829128577,Archaea,Permanent Draft,DeMMO Terrestrial Subsurface Metagenomes,Woesearchaeota archaeon DeMMO3_37,Argonne National Laboratory,2829128577,Candidatus Woesearchaeota,unclassified,unclassified,unclassified,unclassified,unclassified,,1105593,1438,192,0,0,495045,0.45,1033287,93.46,1033287,93.46,1399,97.29,39,2.71,2,1,1,0,0,0,35,2,0,0,0,0,0,0,879,61.13,520,36.16,0,0,0,0,0,0,0,0,0,0,0,0,900,62.59,0,0,777,54.03,229,15.92,183,12.73,219,15.23,1180,82.06,354,24.62,1045,72.67,162,11.27,1237,86.02,0,0,0,0,0,0,0,0,50,3.48,351,24.41,834,58,0,0,0,0,665,0,673,218,0,0,1426,99.17,197,0,0,0,0,0
