site,genome,Completeness,Contamination,gene_count,gene_count_old,Phylum,gene_diff
SW,27,83.63,0.97,NA,NA,NA,NA
SW,43,62.58,1.15,NA,NA,NA,NA
SW,54,56.73,1.69,NA,NA,NA,NA
SW,55,56.71,1.02,NA,NA,NA,NA
SW,56,55.86,2.61,NA,NA,NA,NA
SW,68,41.98,0.14,NA,NA,NA,NA
SW,77,29.25,7.62,NA,NA,NA,NA
SW,78,27.91,5.74,NA,NA,NA,NA
SW,79,27.19,0,NA,NA,NA,NA
SW,80,25.86,5.17,NA,NA,NA,NA
SW,81,24.62,2.96,NA,NA,NA,NA
SW,82,23.73,0,NA,NA,NA,NA
SW,83,23.69,2.68,NA,NA,NA,NA
SW,84,23.24,1.22,NA,NA,NA,NA
SW,85,21.68,1.03,NA,NA,NA,NA
SW,86,21.55,0,NA,NA,NA,NA
SW,87,21.05,9.01,NA,NA,NA,NA
SW,88,21.03,0.1,NA,NA,NA,NA
SW,89,20.69,5.17,NA,NA,NA,NA
SW,90,20.44,1.1,NA,NA,NA,NA
WC,22,44.11,0.68,NA,NA,NA,NA
WC,26,41.38,0.57,NA,NA,NA,NA
WC,41,28.07,0,NA,NA,NA,NA
WC,42,27.47,0,NA,NA,NA,NA
WC,43,27.41,1.19,NA,NA,NA,NA
WC,44,24.16,0,NA,NA,NA,NA
WC,45,24.14,0,NA,NA,NA,NA
WC,46,23.88,1.82,NA,NA,NA,NA
WC,47,21.61,1.12,NA,NA,NA,NA
WC,48,21.61,0.34,NA,NA,NA,NA
WC,49,21.57,6.71,NA,NA,NA,NA
WC,50,20.69,1.72,NA,NA,NA,NA
WC,51,20.61,0,NA,NA,NA,NA
