user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
DeMMO6_31	d__Bacteria;p__UBP1;c__PRR-12;o__SSS58A;f__SSS58A;g__SSS58A;s__GCA_002403075.1	GCA_002403075.1	d__Bacteria;p__UBP1;c__PRR-12;o__SSS58A;f__SSS58A;g__SSS58A;s__	95.11	0.82	GCA_002403075.1	d__Bacteria;p__UBP1;c__PRR-12;o__SSS58A;f__SSS58A;g__SSS58A;s__	95.11	0.82	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO6_66	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	GCA_002840735.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	97.65	0.83	GCA_002840735.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__UBA6170 sp1	97.65	0.83	ANI/Placement	topological placement and ANI have congruent species assignments	
DeMMO6_37	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_85	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_70	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_15	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_11	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA8950;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO6_16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_96	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_69	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_60	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO6_33	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA8523;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_87	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA8523;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_83	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA5211;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_74	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA5211;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_97	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA4781;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO6_46	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA4781;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO6_27	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA6092;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_43	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_56	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO6_61	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_45	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__UBA11579;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_99	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__UBA11579;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_98	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__UBA2029;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_89	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_39	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__UBA12405;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_54	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__Um-filter-40-11;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO6_78	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__Um-filter-40-11;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
